path	sentence
common_voice_de_17922420.mp3	Zieht euch bitte draußen die Schuhe aus.
common_voice_de_27060918.mp3	Es gibt auch mehrere Campingplätze.
common_voice_de_36992722.mp3	Als Kind wollte er nach eigenen Aussagen Footballspieler werden.
common_voice_de_19728810.mp3	Es kommt zum Showdown in Gstaad.
common_voice_de_19156087.mp3	Ihre Fotostrecken erschienen in Modemagazinen wie der Vogue, Harper’s Bazaar und Marie Claire.
common_voice_de_27395829.mp3	Aber weißt du, wer den Stein wirklich ins Rollen gebracht hat?
common_voice_de_20050534.mp3	Felipe hat eine auch für Monarchen ungewöhnlich lange Titelliste.
common_voice_de_18520278.mp3	Was solls, ich bin bereit.
common_voice_de_27022744.mp3	Sein Atelier diente nebenher zur Tarnung unerlaubter politischer Aktivitäten.
common_voice_de_18204372.mp3	Das Internet besteht aus vielen Computern, die miteinander verbunden sind.
common_voice_de_27035238.mp3	Jörg van Essen ist stets über die Landesliste Nordrhein-Westfalen in den Deutschen Bundestag eingezogen.
common_voice_de_17826889.mp3	Der Uranus ist der siebente Planet in unserem Sonnensystem.
common_voice_de_30624469.mp3	Sie gewannen das Match mit sechs Löchern Vorsprung.
common_voice_de_23689441.mp3	Die Wagen erhielten ein einheitliches Erscheinungsbild in weiß mit rotem Fensterband.
common_voice_de_20361955.mp3	Seinen Vornamen erhielt er in Gedenken an seinen früh verstorbenen Onkel.
common_voice_de_25211223.mp3	Mit den Senators nahm er an drei All-Star-Spielen teil.
common_voice_de_20284573.mp3	Vorher und danach war der Löwe im Wappen.
common_voice_de_18445748.mp3	Insgesamt ist der Sound etwas zu basslastig.
common_voice_de_18210861.mp3	Wie ist die derzeitige Verkehrssituation?
common_voice_de_35994330.mp3	Sein Vermögen vermachte er der Kirche zur Stiftung einer Vikarie.
common_voice_de_30066112.mp3	Vielleicht können Sie uns diese Frage am Ende der Aussprache beantworten.
common_voice_de_19534801.mp3	Dieses Maß wird in Zoll angegeben.
common_voice_de_27385324.mp3	Aus den Prozessakten der Hexenverfolgung sind keine authentischen Rezepte bekannt.
common_voice_de_19625120.mp3	Ein großer Teil der Conciergerie wird heute für die Pariser Gerichte genutzt.
common_voice_de_17886464.mp3	Weshalb möchtest du nach Bergheim?
common_voice_de_19714269.mp3	Auflage des Wettbewerbes.
common_voice_de_26246044.mp3	Eislutscher sind viel leckerer als Eistüten.
common_voice_de_19600363.mp3	Seit ihrem achten Lebensjahr bekam sie Tanzunterricht.
common_voice_de_26888041.mp3	Wenn nicht, dann legt man sie irgendwo hin, wo Platz ist.
common_voice_de_19628118.mp3	Der Innenraum trägt eine flache Holzdecke, an der Nord- und Westwand sind Emporen angebracht.
common_voice_de_19119155.mp3	Vier Jahre später erlitt sein Vater einen Jagdunfall, der ihn arbeitsunfähig machte.
common_voice_de_27635426.mp3	Durch Bestrahlen kann eine Kontamination der Nahrung verhindert werden.
common_voice_de_18226103.mp3	Ich hätte Sie nicht bestehen lassen.
common_voice_de_17325303.mp3	Insbesondere keine Topflappen.
common_voice_de_37665925.mp3	Als Forscher hat er die Entwicklung der Psychiatrie stark beeinflusst.
common_voice_de_26703586.mp3	Wir werden in diese Debatte nicht erneut eintreten.
common_voice_de_32863094.mp3	Auch Todesfälle in bislang unbestimmter Zahl sind vorgefallen.
common_voice_de_20591109.mp3	Im Winter wird Rugby Union gespielt, im Sommer Cricket.
common_voice_de_33338375.mp3	Er errang den ersten Platz in seiner Hubraumklasse.
common_voice_de_35697116.mp3	Prägend für Marianne war die liebevolle, nicht autoritäre Erziehung durch ihre Eltern.
common_voice_de_19579120.mp3	Es gibt vier Staubblätter.
common_voice_de_19163610.mp3	Die bundesdeutsche Anti-Atom-Bewegung erlebte in Brokdorf ihren unaufhaltsamen Aufstieg und ihre größten Niederlagen.
common_voice_de_27040387.mp3	Ein unbekannter Tatverdächtiger wird in seinem Wagen verfolgt.
common_voice_de_22214188.mp3	fünf
